"REF_DATE","GEO","DGUID","Storage","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2016-01","British Columbia","2016A000259","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028667","6.6.2","0.0","","","","1"
"2016-02","Canada","2016A000011124","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028596","1.1.1","22220401.0","","","","1"
"2016-02","Canada","2016A000011124","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028597","1.1.2","868621.5","","","","1"
"2016-02","Canada","2016A000011124","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028598","1.2.1","20472652.0","","","","1"
"2016-02","Canada","2016A000011124","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028599","1.2.2","800346.9","","","","1"
"2016-02","Canada","2016A000011124","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028600","1.3.1","-1747749.0","","","","1"
"2016-02","Canada","2016A000011124","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028601","1.3.2","-68274.6","","","","1"
"2016-02","Canada","2016A000011124","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028602","1.4.1","171881.0","","","","1"
"2016-02","Canada","2016A000011124","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028603","1.4.2","6800.4","","","","1"
"2016-02","Canada","2016A000011124","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028604","1.5.1","1945799.0","","","","1"
"2016-02","Canada","2016A000011124","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028605","1.5.2","74786.1","","","","1"
"2016-02","Canada","2016A000011124","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028606","1.6.1","26169.0","","","","1"
"2016-02","Canada","2016A000011124","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028607","1.6.2","-289.0","","","","1"
"2016-02","Quebec","2016A000224","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028608","2.1.1","370737.0","","","","1"
"2016-02","Quebec","2016A000224","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028609","2.1.2","14084.3","","","","1"
"2016-02","Quebec","2016A000224","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028610","2.2.1","335009.0","","","","1"
"2016-02","Quebec","2016A000224","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028611","2.2.2","12727.0","","","","1"
"2016-02","Quebec","2016A000224","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028612","2.3.1","-35728.0","","","","1"
"2016-02","Quebec","2016A000224","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028613","2.3.2","-1357.3","","","","1"
"2016-02","Quebec","2016A000224","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028614","2.4.1","0.0","","","","1"
"2016-02","Quebec","2016A000224","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028615","2.4.2","0.0","","","","1"
"2016-02","Quebec","2016A000224","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028616","2.5.1","34943.0","","","","1"
"2016-02","Quebec","2016A000224","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028617","2.5.2","1327.5","","","","1"
"2016-02","Quebec","2016A000224","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028618","2.6.1","-785.0","","","","1"
"2016-02","Quebec","2016A000224","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028619","2.6.2","-29.8","","","","1"
"2016-02","Ontario","2016A000235","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028620","3.1.1","6674164.0","","","","1"
"2016-02","Ontario","2016A000235","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028621","3.1.2","254352.4","","","","1"
"2016-02","Ontario","2016A000235","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028622","3.2.1","5403680.0","","","","1"
"2016-02","Ontario","2016A000235","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028623","3.2.2","205623.5","","","","1"
"2016-02","Ontario","2016A000235","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028624","3.3.1","-1270484.0","","","","1"
"2016-02","Ontario","2016A000235","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028625","3.3.2","-48728.9","","","","1"
"2016-02","Ontario","2016A000235","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028626","3.4.1","0.0","","","","1"
"2016-02","Ontario","2016A000235","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028627","3.4.2","0.0","","","","1"
"2016-02","Ontario","2016A000235","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028628","3.5.1","1280569.0","","","","1"
"2016-02","Ontario","2016A000235","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028629","3.5.2","48728.9","","","","1"
"2016-02","Ontario","2016A000235","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028630","3.6.1","10085.0","","","","1"
"2016-02","Ontario","2016A000235","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028631","3.6.2","0.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028632","4.1.1","527576.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028633","4.1.2","20586.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028634","4.2.1","439057.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028635","4.2.2","17132.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028636","4.3.1","-88519.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028637","4.3.2","-3454.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028638","4.4.1","0.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028639","4.4.2","0.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028640","4.5.1","88519.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028641","4.5.2","3454.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Other adjustments","Cubic metres","Cubic metres","72","thousands","3","v107028642","4.6.1","0.0","","","","1"
"2016-02","Saskatchewan","2016A000247","Other adjustments","Gigajoules","Gigajoules","143","thousands","3","v107028643","4.6.2","0.0","","","","1"
"2016-02","Alberta","2016A000248","Opening inventory","Cubic metres","Cubic metres","72","thousands","3","v107028644","5.1.1","13397616.0","","","","1"
"2016-02","Alberta","2016A000248","Opening inventory","Gigajoules","Gigajoules","143","thousands","3","v107028645","5.1.2","531036.8","","","","1"
"2016-02","Alberta","2016A000248","Closing inventory","Cubic metres","Cubic metres","72","thousands","3","v107028646","5.2.1","13264903.0","","","","1"
"2016-02","Alberta","2016A000248","Closing inventory","Gigajoules","Gigajoules","143","thousands","3","v107028647","5.2.2","524859.1","","","","1"
"2016-02","Alberta","2016A000248","Inventory change","Cubic metres","Cubic metres","72","thousands","3","v107028648","5.3.1","-132713.0","","","","1"
"2016-02","Alberta","2016A000248","Inventory change","Gigajoules","Gigajoules","143","thousands","3","v107028649","5.3.2","-6177.8","","","","1"
"2016-02","Alberta","2016A000248","Injections to storage","Cubic metres","Cubic metres","72","thousands","3","v107028650","5.4.1","171248.0","","","","1"
"2016-02","Alberta","2016A000248","Injections to storage","Gigajoules","Gigajoules","143","thousands","3","v107028651","5.4.2","6775.8","","","","1"
"2016-02","Alberta","2016A000248","Withdrawals from storage","Cubic metres","Cubic metres","72","thousands","3","v107028652","5.5.1","320932.0","","","","1"
"2016-02","Alberta","2016A000248","Withdrawals from storage","Gigajoules","Gigajoules","143","thousands","3","v107028653","5.5.2","12698.5","","","","1"
